,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"22456,58",-6040,"6604,24","23020,82","23101,68","80,86","191,12",0
10,2,"23101,68",-5810,"5490,56","22782,24","22768,47","-13,77","213,95",0
11,3,"22768,47",-5880,"5845,68","22734,15","22719,85","-14,3","231,98",0
12,4,"22719,85",-5760,"6786,64","23746,49","23752,04","5,55","284,78",0
13,5,"23752,04",-6245,"5215,87","22722,91","22716,7","-6,21","216,07",0
14,6,"22716,7",-6005,"7492,45","24204,15","24289,06","84,91","192,94",0
15,7,"24289,06",-6225,"6155,49","24219,55","24241,17","21,62","195,48",0
16,8,"24241,17",-6130,"4923,27","23034,44","22983,12","-51,32","200,15",0
17,9,"22983,12",-5910,"5511,43","22584,55","22533,55","-51,0","40,7",0
18,10,"22533,55",-6190,"7181,67","23525,22","23488,39","-36,83","19,51",0
19,11,"23488,39",-6170,"2870,7","20189,09","20224,46","35,37","-25,98",0
20,12,"20224,46",-5820,"7990,07","22394,53","22404,6","10,07","-2,14",0
21,13,"22404,6",-6190,"5501,79","21716,39","21765,21","48,82","60,98",0
22,14,"21765,21",-5775,"6653,78","22643,99","22546,89","-97,1","-41,67",0
23,15,"22546,89",-5555,"3744,51","20736,4","20774,24","37,84","2,38",0
24,16,"20774,24",-6040,"6997,34","21731,58","21726,56","-5,02","-87,55",0
25,17,"21726,56",-6160,"8559,31","24125,87","24060,1","-65,77","-174,94",0
26,18,"24060,1",-5695,"4051,98","22417,08","22430,26","13,18","-110,44",0
27,19,"22430,26",-5865,"7117,69","23682,95","23742,19","59,24","-0,2",0
28,20,"23742,19",-6215,"5984,16","23511,35","23618,23","106,88","143,51",0
29,21,"23618,23",-5915,"4991,03","22694,26","22717,24","22,98","131,12",1
30,22,"22717,24",-6125,"4351,58","20943,82","20929,95","-13,87","107,18",1
31,23,"20929,95",-6555,"7454,62","21829,57","21830,54","0,97","59,33",1
32,24,"21830,54",-5915,"6680,16","22595,7","22472,44","-123,26","33,17",1
33,25,"22472,44",-6205,"7418,79","23686,23","23593,25","-92,98","-97,65",1
34,26,"23593,25",-6065,"3658,23","21186,48","21184,66","-1,82","-94,45",1
35,27,"21184,66",-5855,"7258,12","22587,78","22422,44","-165,34","-194,02",1
36,28,"22422,44",-6245,"5582,73","21760,17","21729,84","-30,33","-237,53",1
37,29,"21729,84",-6320,"6743,82","22153,66","22018,27","-135,39","-432,16",1
38,30,"22018,27",-5880,"5699,66","21837,93","21638,73","-199,2","-738,24",1
39,31,"21638,73",-6135,"4362,46","19866,19","19781,08","-85,11","-846,33",1
40,32,"19781,08",-5810,"9595,44","23566,52","23410,41","-156,11","-988,57",1
41,33,"23410,41",-5975,"3269,12","20704,53","20723,61","19,08","-970,46",1
42,34,"20723,61",-6475,"7043,15","21291,76","21159,15","-132,61","-979,81",1
43,35,"21159,15",-6310,"6929,17","21778,32","21784,28","5,96","-880,87",1
44,36,"21784,28",-6230,"5762,41","21316,69","21269,53","-47,16","-926,21",1
45,37,"21269,53",-6410,"7063,03","21922,56","21900,52","-22,04","-782,91",1
46,38,"21900,52",-6135,"6424,61","22190,13","22166,42","-23,71","-776,29",1
47,39,"22166,42",-6005,"3743,38","19904,8","19791,57","-113,23","-754,13",1
48,40,"19791,57",-5835,"7789,1","21745,67","21829,62","83,95","-470,98",1
49,41,"21829,62",-6275,"7163,9","22718,52","22589,98","-128,54","-514,41",1
50,42,"22589,98",-5910,"3144,15","19824,13","19753,92","-70,21","-428,51",1
51,43,"19753,92",-6230,"9506,53","23030,45","22867,92","-162,53","-610,12",1
52,44,"22867,92",-6215,"6367,08","23020,0","22949,75","-70,25","-547,76",1
53,45,"22949,75",-5975,"5862,03","22836,78","22846,48","9,7","-544,02",1
54,46,"22846,48",-6275,"3755,64","20327,12","20286,22","-40,9","-537,76",1
55,47,"20286,22",-6100,"5944,89","20131,11","20162,04","30,93","-484,79",1
56,48,"20162,04",-6260,"4406,71","18308,75","18272,73","-36,02","-497,1",1
57,49,"18272,73",-5885,"9236,62","21624,35","21608,05","-16,3","-400,17",1
58,50,"21608,05",-6375,"6418,01","21651,06","21664,95","13,89","-470,23",1
