,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"19110,88",-6170,"8520,94","21461,82","21542,65","80,83","206,68",0
10,2,"21542,65",-5705,"8913,07","24750,72","24787,62","36,9","222,97",0
11,3,"24787,62",-6490,"3298,74","21596,36","21605,09","8,73","279,84",0
12,4,"21605,09",-5900,"5918,0","21623,09","21561,47","-61,62","149,72",0
13,5,"21561,47",-5970,"8063,46","23654,93","23700,37","45,44","157,3",0
14,6,"23700,37",-5895,"4605,76","22411,13","22410,89","-0,24","175,11",0
15,7,"22410,89",-6200,"5110,92","21321,81","21353,48","31,67","221,88",0
16,8,"21353,48",-6015,"7794,75","23133,23","23148,45","15,22","200,63",0
17,9,"23148,45",-5925,"4598,33","21821,78","21834,31","12,53","212,8",0
18,10,"21834,31",-6055,"8387,69","24167,0","24143,86","-23,14","146,32",0
19,11,"24143,86",-5845,"4310,33","22609,19","22626,35","17,16","82,65",0
20,12,"22626,35",-5965,"4916,24","21577,59","21558,91","-18,68","27,07",0
21,13,"21558,91",-5825,"6582,47","22316,38","22339,21","22,83","41,17",0
22,14,"22339,21",-5905,"7206,37","23640,58","23683,32","42,74","145,53",0
23,15,"23683,32",-5750,"4885,43","22818,75","22734,69","-84,06","16,03",0
24,16,"22734,69",-6340,"6838,33","23233,02","23224,62","-8,4","7,87",0
25,17,"23224,62",-5855,"2893,27","20262,89","20194,1","-68,79","-92,59",0
26,18,"20194,1",-6230,"9982,28","23946,38","23962,15","15,77","-92,04",0
27,19,"23962,15",-5970,"4909,94","22902,09","22837,5","-64,59","-169,16",0
28,20,"22837,5",-5955,"4261,98","21144,48","21171,92","27,44","-118,58",0
29,21,"21171,92",-6515,"6918,52","21575,44","21611,21","35,77","-99,97",0
30,22,"21611,21",-6235,"5002,64","20378,85","20412,21","33,36","-47,93",0
31,23,"20412,21",-5995,"6967,13","21384,34","21410,75","26,41","-44,35",0
32,24,"21410,75",-5915,"6996,37","22492,12","22509,01","16,89","-70,2",0
33,25,"22509,01",-5680,"3401,25","20230,26","20225,26","-5,0","8,86",0
34,26,"20225,26",-5510,"6613,92","21329,18","21317,67","-11,51","5,75",0
35,27,"21317,67",-5855,"8207,23","23669,9","23585,99","-83,91","-9,37",0
36,28,"23585,99",-5950,"3879,57","21515,56","21587,55","71,99","46,85",0
37,29,"21587,55",-6085,"6411,71","21914,26","21829,66","-84,6","26,84",0
38,30,"21829,66",-6080,"6027,59","21777,25","21776,95","-0,3","-0,9",0
39,31,"21776,95",-5600,"5980,96","22157,91","22142,54","-15,37","-52,04",0
40,32,"22142,54",-6265,"6913,73","22791,27","22687,11","-104,16","-189,56",0
41,33,"22687,11",-5870,"6490,27","23307,38","23304,86","-2,52","-218,49",0
42,34,"23304,86",-5725,"3670,14","21250,0","21210,23","-39,77","-275,15",0
43,35,"21210,23",-6055,"5993,91","21149,14","21149,66","0,52","-269,63",0
44,36,"21149,66",-6115,"6913,94","21948,6","22037,32","88,72","-169,4",0
45,37,"22037,32",-5815,"7855,45","24077,77","24212,13","134,36","48,87",0
46,38,"24212,13",-6235,"3826,65","21803,78","21810,34","6,56","-16,56",0
47,39,"21810,34",-6120,"6352,86","22043,2","22115,17","71,97","140,01",0
48,40,"22115,17",-6035,"6468,77","22548,94","22507,29","-41,65","98,66",0
49,41,"22507,29",-5945,"3775,7","20337,99","20322,11","-15,88","98,15",0
50,42,"20322,11",-6090,"6872,51","21104,62","20936,45","-168,17","34,14",0
51,43,"20936,45",-6090,"5914,99","20761,44","20851,16","89,72","126,38",0
52,44,"20851,16",-6235,"6603,81","21219,97","21195,58","-24,39","141,76",0
53,45,"21195,58",-5900,"6846,01","22141,59","22195,42","53,83","195,07",0
54,46,"22195,42",-6180,"6024,29","22039,71","22107,13","67,42","173,77",1
55,47,"22107,13",-5945,"6368,17","22530,3","22553,2","22,9","62,31",1
56,48,"22553,2",-5860,"6106,95","22800,15","22795,27","-4,88","50,87",1
57,49,"22795,27",-5675,"6120,62","23240,89","23159,22","-81,67","-102,77",1
58,50,"23159,22",-6270,"6601,67","23490,89","23524,23","33,34","-27,78",1
59,51,"23524,23",-5770,"4041,59","21795,82","21797,6","1,78","-10,12",1
60,52,"21797,6",-5985,"7305,29","23117,89","23211,11","93,22","251,27",1
61,53,"23211,11",-6090,"3265,86","20386,97","20447,54","60,57","222,12",1
62,54,"20447,54",-5835,"7593,76","22206,3","22150,41","-55,89","190,62",1
63,55,"22150,41",-5910,"7042,02","23282,43","23278,87","-3,56","133,23",1
64,56,"23278,87",-5985,"4132,19","21426,06","21397,64","-28,42","37,39",1
65,57,"21397,64",-6010,"5449,99","20837,63","20827,76","-9,87","4,62",1
66,58,"20827,76",-6250,"8590,34","23168,1","23046,78","-121,32","-111,82",1
67,59,"23046,78",-5970,"4596,11","21672,89","21705,41","32,52","2,37",1
68,60,"21705,41",-5690,"7868,06","23883,47","23858,62","-24,85","-55,82",1
69,61,"23858,62",-6090,"3157,48","20926,1","20900,5","-25,6","-83,2",1
70,62,"20900,5",-6035,"7985,67","22851,17","22806,27","-44,9","-221,32",1
71,63,"22806,27",-6160,"7481,83","24128,1","24112,15","-15,95","-297,84",1
72,64,"24112,15",-5810,"3934,23","22236,38","22211,57","-24,81","-266,76",1
73,65,"22211,57",-6315,"6690,46","22587,03","22522,37","-64,66","-327,86",1
74,66,"22522,37",-6035,"5139,97","21627,34","21569,9","-57,44","-356,88",1
75,67,"21569,9",-5910,"4618,6","20278,5","20219,43","-59,07","-406,08",1
76,68,"20219,43",-5980,"6566,19","20805,62","20843,48","37,86","-246,9",1
77,69,"20843,48",-6185,"6488,79","21147,27","21123,76","-23,51","-302,93",1
78,70,"21123,76",-6120,"6017,17","21020,93","21018,76","-2,17","-280,25",1
79,71,"21018,76",-6000,"6847,39","21866,15","21946,37","80,22","-174,43",1
80,72,"21946,37",-5635,"5609,37","21920,74","22025,61","104,87","-24,66",1
81,73,"22025,61",-5695,"6678,73","23009,34","23016,78","7,44","-1,27",1
82,74,"23016,78",-6050,"6018,21","22984,99","23038,35","53,36","76,9",1
83,75,"23038,35",-6000,"6316,77","23355,12","23290,98","-64,14","77,42",1
84,76,"23290,98",-5555,"5657,81","23393,79","23373,54","-20,25","114,61",1
85,77,"23373,54",-5990,"5631,04","23014,58","22947,98","-66,6","107,08",1
86,78,"22947,98",-5990,"4617,34","21575,32","21605,17","29,85","99,07",1
87,79,"21605,17",-6160,"7629,14","23074,31","23088,95","14,64","137,22",1
88,80,"23088,95",-6180,"3801,84","20710,79","20725,48","14,69","154,08",1
89,81,"20725,48",-5870,"6296,61","21152,09","21231,12","79,03","152,89",1
90,82,"21231,12",-6640,"7106,8","21697,92","21711,67","13,75","61,77",1
91,83,"21711,67",-6140,"4453,41","20025,08","19962,84","-62,24","-7,91",1
92,84,"19962,84",-5865,"8576,42","22674,26","22643,93","-30,33","-91,6",1
93,85,"22643,93",-6075,"4562,09","21131,02","21188,79","57,77","30,31",1
94,86,"21188,79",-5840,"7195,16","22543,95","22505,69","-38,26","12,3",1
95,87,"22505,69",-5855,"3858,58","20509,27","20483,92","-25,35","53,55",1
96,88,"20483,92",-5970,"6770,57","21284,49","21223,63","-60,86","-37,16",1
97,89,"21223,63",-6010,"5968,52","21182,15","21324,8","142,65","90,85",1
98,90,"21324,8",-6115,"7310,8","22520,6","22516,1","-4,5","71,66",1
99,91,"22516,1",-5875,"5977,93","22619,03","22664,26","45,23","37,86",1
100,92,"22664,26",-5870,"4960,4","21754,66","21744,28","-10,38","13,73",1
101,93,"21744,28",-5870,"4906,41","20780,69","20829,81","49,12","125,09",1
102,94,"20829,81",-5950,"6495,56","21375,37","21368,72","-6,65","148,77",1
103,95,"21368,72",-5925,"6513,2","21956,92","21922,96","-33,96","57,04",1
104,96,"21922,96",-6180,"4142,26","19885,22","19882,06","-3,16","92,14",1
105,97,"19882,06",-6035,"7718,8","21565,86","21466,95","-98,91","18,58",1
106,98,"21466,95",-5985,"4860,82","20342,77","20306,93","-35,84","43,6",1
107,99,"20306,93",-5925,"5107,99","19489,92","19533,9","43,98","-55,07",1
108,100,"19533,9",-6285,"7949,58","21198,48","21066,45","-132,03","-182,6",1
