,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"20300,59",-5785,"7017,89","21533,48","21522,72","-10,76","234,6",0
10,2,"21522,72",-6040,"7983,27","23465,99","23302,24","-163,75","35,97",0
11,3,"23302,24",-6005,"4558,82","21856,06","21823,0","-33,06","-38,51",0
12,4,"21823,0",-5820,"5284,44","21287,44","21257,0","-30,44","-45,57",0
13,5,"21257,0",-5975,"6238,65","21520,65","21639,32","118,67","-4,62",0
14,6,"21639,32",-5895,"7578,84","23323,16","23420,13","96,97","105,45",0
15,7,"23420,13",-5820,"4391,04","21991,17","22048,16","56,99","158,48",0
16,8,"22048,16",-6135,"7710,2","23623,36","23568,83","-54,53","48,56",0
17,9,"23568,83",-5700,"3708,58","21577,41","21671,39","93,98","141,14",0
18,10,"21671,39",-6240,"6945,83","22377,22","22417,02","39,8","113,87",0
19,11,"22417,02",-6635,"8916,91","24698,93","24664,59","-34,34","90,29",0
20,12,"24664,59",-5835,"3471,0","22300,59","22355,09","54,5","308,54",0
21,13,"22355,09",-5905,"5214,81","21664,9","21648,19","-16,71","324,89",0
22,14,"21648,19",-5865,"5636,35","21419,54","21467,99","48,45","403,78",0
23,15,"21467,99",-6170,"4948,56","20246,55","20227,25","-19,3","265,81",1
24,16,"20227,25",-5945,"7956,88","22239,13","22267,31","28,18","197,02",1
25,17,"22267,31",-5780,"5977,77","22465,08","22511,93","46,85","186,88",1
26,18,"22511,93",-5895,"5989,0","22605,93","22574,78","-31,15","210,26",1
27,19,"22574,78",-5760,"6292,65","23107,43","23200,34","92,91","209,19",1
28,20,"23200,34",-5935,"3753,77","21019,11","20963,77","-55,34","114,05",1
29,21,"20963,77",-5490,"6918,55","22392,32","22352,14","-40,18","108,21",1
30,22,"22352,14",-5670,"6563,68","23245,82","23206,49","-39,33","14,38",1
31,23,"23206,49",-5805,"5117,12","22518,61","22516,41","-2,2","28,89",1
32,24,"22516,41",-6315,"8234,24","24435,65","24424,35","-11,3","-30,86",1
33,25,"24424,35",-5860,"3230,48","21794,83","21783,77","-11,06","-22,62",1
34,26,"21783,77",-6315,"5967,93","21436,7","21343,34","-93,36","-144,16",1
35,27,"21343,34",-6070,"5946,98","21220,32","21269,16","48,84","-142,17",1
36,28,"21269,16",-5900,"6411,31","21780,47","21628,04","-152,43","-263,45",1
