,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"23575,87",-6030,"5699,97","23245,84","23242,56","-3,28","238,82",0
10,2,"23242,56",-6065,"6794,16","23971,72","24003,35","31,63","182,26",0
11,3,"24003,35",-6120,"6438,74","24322,09","24271,55","-50,54","113,1",0
12,4,"24271,55",-6010,"4051,75","22313,3","22332,32","19,02","160,38",0
13,5,"22332,32",-6110,"8415,16","24637,48","24697,23","59,75","198,01",0
14,6,"24697,23",-5895,"3897,68","22699,91","22653,19","-46,72","123,71",0
15,7,"22653,19",-6100,"6382,37","22935,56","22898,88","-36,68","29,68",0
16,8,"22898,88",-5830,"5929,13","22998,01","23009,64","11,63","71,56",0
17,9,"23009,64",-5700,"2987,12","20296,76","20336,45","39,69","99,3",0
18,10,"20336,45",-6385,"8998,12","22949,57","22915,22","-34,35","-9,85",0
19,11,"22915,22",-6170,"6924,74","23669,96","23664,41","-5,55","-12,12",0
20,12,"23664,41",-5925,"5710,78","23450,19","23490,54","40,35","-3,4",0
21,13,"23490,54",-5780,"4727,19","22437,73","22412,09","-25,64","21,5",0
22,14,"22412,09",-5875,"5993,99","22531,08","22546,61","15,53","18,01",0
23,15,"22546,61",-5890,"6297,35","22953,96","22928,11","-25,85","-67,59",0
24,16,"22928,11",-6040,"6007,99","22896,1","22928,84","32,74","11,87",0
25,17,"22928,84",-6150,"6334,21","23113,05","23144,67","31,62","80,17",0
26,18,"23144,67",-6185,"3015,27","19974,94","19947,11","-27,83","40,71",0
27,19,"19947,11",-5795,"8051,3","22203,41","22133,06","-70,35","-69,33",0
28,20,"22133,06",-6030,"6494,68","22597,74","22712,62","114,88","79,9",0
29,21,"22712,62",-6095,"5800,56","22418,18","22383,77","-34,41","51,04",0
30,22,"22383,77",-6215,"5809,96","21978,73","22004,0","25,27","35,96",0
31,23,"22004,0",-6155,"3491,87","19340,87","19346,13","5,26","66,86",0
32,24,"19346,13",-6040,"10566,47","23872,6","23789,25","-83,35","-32,02",0
33,25,"23789,25",-5990,"5777,94","23577,19","23577,95","0,76","-5,41",0
34,26,"23577,95",-5990,"6251,63","23839,58","23788,87","-50,71","-88,86",0
35,27,"23788,87",-6250,"5011,28","22550,15","22544,71","-5,44","-125,92",0
36,28,"22544,71",-6100,"7112,58","23557,29","23608,42","51,13","-46,96",0
37,29,"23608,42",-5710,"2970,74","20869,16","20912,99","43,83","67,22",0
38,30,"20912,99",-6220,"6776,26","21469,25","21550,74","81,49","33,83",0
39,31,"21550,74",-6185,"6536,64","21902,38","21948,67","46,29","114,53",0
40,32,"21948,67",-6320,"5787,56","21416,23","21335,24","-80,99","8,27",0
41,33,"21335,24",-5870,"5212,2","20677,44","20742,61","65,17","68,18",0
42,34,"20742,61",-5995,"7028,96","21776,57","21780,9","4,33","155,86",0
43,35,"21780,9",-5990,"7428,99","23219,89","23199,93","-19,96","135,14",0
44,36,"23199,93",-5865,"3666,91","21001,84","20947,08","-54,76","131,09",0
45,37,"20947,08",-6245,"8186,83","22888,91","22811,93","-76,98","59,55",0
46,38,"22811,93",-5595,"6606,13","23823,06","23840,13","17,07","25,49",0
47,39,"23840,13",-6205,"3864,18","21499,31","21530,78","31,47","13,13",0
48,40,"21530,78",-6160,"6734,46","22105,24","22090,35","-14,89","-83,25",0
49,41,"22090,35",-5940,"3685,47","19835,82","19864,53","28,71","-100,83",0
50,42,"19864,53",-6330,"10793,47","24328,0","24392,19","64,19","44,35",0
51,43,"24392,19",-5870,"5163,75","23685,94","23673,54","-12,4","-33,22",0
52,44,"23673,54",-5890,"5057,53","22841,07","22905,67","64,6","27,05",0
53,45,"22905,67",-5805,"4324,02","21424,69","21351,27","-73,42","-26,41",0
54,46,"21351,27",-5970,"7053,8","22435,07","22380,28","-54,79","-26,44",0
55,47,"22380,28",-5965,"6994,0","23409,28","23342,36","-66,92","-16,38",0
56,48,"23342,36",-6250,"5526,74","22619,1","22631,29","12,19","-21,26",0
57,49,"22631,29",-5925,"6891,34","23597,63","23689,5","91,87","39,14",0
58,50,"23689,5",-6255,"3047,6","20482,1","20438,18","-43,92","10,11",0
59,51,"20438,18",-6020,"5989,27","20407,45","20443,76","36,31","17,71",0
60,52,"20443,76",-6035,"6965,06","21373,82","21395,9","22,08","-24,4",0
61,53,"21395,9",-6125,"6088,7","21359,6","21266,15","-93,45","-105,45",0
62,54,"21266,15",-5840,"6866,36","22292,51","22278,85","-13,66","-183,71",0
63,55,"22278,85",-5920,"6438,2","22797,05","22748,78","-48,27","-158,56",0
64,56,"22748,78",-6170,"5950,61","22529,39","22484,34","-45,05","-148,82",0
65,57,"22484,34",-6460,"6467,28","22491,62","22533,76","42,14","-39,76",0
66,58,"22533,76",-5920,"6031,86","22645,62","22616,58","-29,04","-80,99",0
67,59,"22616,58",-6065,"3960,8","20512,38","20568,2","55,82","-117,04",0
68,60,"20568,2",-5950,"7001,74","21619,94","21606,46","-13,48","-86,6",0
69,61,"21606,46",-6090,"6178,74","21695,2","21696,31","1,11","-121,8",0
70,62,"21696,31",-6250,"4750,01","20196,32","20255,56","59,24","-84,64",0
71,63,"20255,56",-6430,"7022,91","20848,47","20845,5","-2,97","5,84",0
72,64,"20845,5",-6250,"4118,73","18714,23","18717,65","3,42","22,92",0
73,65,"18717,65",-6095,"5825,48","18448,13","18486,85","38,72","109,91",0
74,66,"18486,85",-5715,"6925,37","19697,22","19761,02","63,8","218,76",0
75,67,"19761,02",-6070,"6905,1","20596,12","20691,11","94,99","271,61",0
76,68,"20691,11",-5985,"4683,6","19389,71","19335,4","-54,31","246,34",0
77,69,"19335,4",-6045,"8333,85","21624,25","21659,87","35,62","226,14",0
78,70,"21659,87",-5795,"4845,54","20710,41","20778,95","68,54","308,16",0
79,71,"20778,95",-5950,"8014,7","22843,65","22885,24","41,59","348,64",0
80,72,"22885,24",-5970,"5306,86","22222,1","22290,67","68,57","357,97",0
81,73,"22290,67",-5950,"5043,92","21384,59","21408,37","23,78","384,72",0
82,74,"21408,37",-6040,"6031,46","21399,83","21335,02","-64,81","316,49",0
83,75,"21335,02",-6335,"6763,1","21763,12","21795,81","32,69","310,46",0
84,76,"21795,81",-5810,"7526,31","23512,12","23505,2","-6,92","239,74",0
