,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"19205,78",-5865,"5999,26","19340,04","19326,56","-13,48","-87,05",1
10,2,"19326,56",-6050,"5999,01","19275,57","19265,47","-10,1","-95,22",1
11,3,"19265,47",-5975,"8999,63","22290,1","22292,32","2,22","-93,14",0
12,4,"22292,32",-5830,"2999,92","19462,24","19463,03","0,79","-93,83",0
13,5,"19463,03",-6150,"6999,09","20312,12","20309,58","-2,54","-94,66",0
14,6,"20309,58",-6095,"8000,63","22215,21","22215,85","0,64","-80,17",0
15,7,"22215,85",-5755,"3839,22","20300,07","20301,03","0,96","-66,02",0
16,8,"20301,03",-5835,"6944,81","21410,84","21410,82","-0,02","-50,85",0
17,9,"21410,82",-5545,"7036,87","22902,69","22887,15","-15,54","-50,8",1
18,10,"22887,15",-5595,"5720,29","23012,44","22995,94","-16,5","-53,57",1
19,11,"22995,94",-5805,"5554,38","22745,32","22727,56","-17,76","-57,85",1
20,12,"22727,56",-5845,"5225,1","22107,66","22093,03","-14,63","-62,38",1
21,13,"22093,03",-6085,"5889,28","21897,31","21880,62","-16,69","-81,29",1
22,14,"21880,62",-6005,"6525,53","22401,15","22383,97","-17,18","-99,26",1
23,15,"22383,97",-5680,"6956,12","23660,09","23654,93","-5,16","-101,88",1
24,16,"23654,93",-6015,"4019,95","21659,88","21658,75","-1,13","-103,65",0
25,17,"21658,75",-6185,"6800,63","22274,38","22274,37","-0,01","-104,62",0
26,18,"22274,37",-6535,"7269,8","23009,17","23010,09","0,92","-103,68",0
27,19,"23010,09",-5715,"5048,8","22343,89","22344,35","0,46","-87,68",0
28,20,"22344,35",-6365,"6354,97","22334,32","22333,88","-0,44","-71,62",0
29,21,"22333,88",-5800,"2999,98","19533,86","19523,2","-10,66","-64,52",1
30,22,"19523,2",-5780,"6999,64","20742,84","20726,03","-16,81","-66,7",1
31,23,"20726,03",-6325,"6999,84","21400,87","21384,92","-15,95","-65,96",1
32,24,"21384,92",-6385,"4285,39","19285,31","19270,2","-15,11","-63,89",1
33,25,"19270,2",-6025,"11273,16","24518,36","24503,61","-14,75","-73,48",1
34,26,"24503,61",-6465,"3519,73","21558,34","21540,16","-18,18","-90,53",1
35,27,"21540,16",-5910,"4811,0","20441,16","20434,86","-6,3","-96,82",1
36,28,"20434,86",-5820,"6559,47","21174,33","21175,51","1,18","-96,56",0
37,29,"21175,51",-5960,"6618,95","21834,46","21835,07","0,61","-96,41",0
38,30,"21835,07",-5750,"5699,39","21784,46","21784,57","0,11","-95,86",0
39,31,"21784,57",-5975,"5885,16","21694,73","21683,5","-11,23","-96,43",1
40,32,"21683,5",-6020,"7000,85","22664,35","22646,55","-17,8","-97,42",1
41,33,"22646,55",-6360,"7070,09","23356,64","23339,13","-17,51","-98,98",1
42,34,"23339,13",-5965,"6124,91","23499,04","23482,39","-16,65","-100,52",1
43,35,"23482,39",-6335,"6384,25","23531,64","23516,48","-15,16","-100,93",1
44,36,"23516,48",-6245,"7104,74","24376,22","24359,74","-16,48","-99,23",1
45,37,"24359,74",-6040,"2449,94","20769,68","20765,38","-4,3","-97,23",1
46,38,"20765,38",-5935,"7304,79","22135,17","22137,09","1,92","-96,49",0
47,39,"22137,09",-5905,"5998,89","22230,98","22230,57","-0,41","-97,51",0
48,40,"22230,57",-5955,"6999,5","23275,07","23275,17","0,1","-97,52",0
49,41,"23275,17",-5900,"6549,09","23924,26","23926,05","1,79","-84,5",0
50,42,"23926,05",-6240,"5159,77","22845,82","22832,66","-13,16","-79,86",1
51,43,"22832,66",-6050,"6840,08","23622,74","23605,78","-16,96","-79,31",1
52,44,"23605,78",-6125,"7024,85","24505,63","24488,54","-17,09","-79,75",1
53,45,"24488,54",-6210,"4369,73","22648,27","22630,98","-17,29","-81,88",1
54,46,"22630,98",-6000,"6660,2","23291,18","23274,2","-16,98","-82,38",1
55,47,"23274,2",-6100,"5975,1","23149,3","23132,47","-16,83","-94,91",1
56,48,"23132,47",-5825,"6034,22","23341,69","23339,98","-1,71","-98,54",1
57,49,"23339,98",-5980,"3220,05","20580,03","20582,61","2,58","-95,55",0
58,50,"20582,61",-6475,"8005,11","22112,72","22110,45","-2,27","-97,92",0
59,51,"22110,45",-6285,"6033,39","21858,84","21859,76","0,92","-98,79",0
60,52,"21859,76",-5790,"6594,66","22664,42","22656,47","-7,95","-93,58",1
61,53,"22656,47",-6135,"5620,82","22142,29","22126,2","-16,09","-92,71",1
62,54,"22126,2",-6345,"6674,48","22455,68","22437,72","-17,96","-93,58",1
63,55,"22437,72",-6090,"6585,82","22933,54","22916,93","-16,61","-92,9",1
64,56,"22916,93",-5950,"5399,48","22366,41","22350,36","-16,05","-91,97",1
65,57,"22350,36",-5900,"6544,26","22994,62","22978,9","-15,72","-90,86",1
66,58,"22978,9",-6410,"4995,47","21564,37","21553,53","-10,84","-99,99",1
