,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"17515,72",-5885,"3000,16","14630,88","14629,51","-1,37","-0,26",0
10,2,"14629,51",-6080,"8998,3","17547,81","17551,07","3,26","3,38",0
11,3,"17551,07",-6370,"6999,87","18180,94","18179,47","-1,47","1,55",0
12,4,"18179,47",-6310,"9000,76","20870,23","20870,3","0,07","-0,15",0
13,5,"20870,3",-6015,"6000,06","20855,36","20856,15","0,79","1,82",0
14,6,"20856,15",-6300,"9605,03","24161,18","24160,73","-0,45","4,13",0
15,7,"24160,73",-6000,"4165,46","22326,19","22324,23","-1,96","0,3",0
16,8,"22324,23",-5835,"7410,51","23899,74","23899,91","0,17","-1,88",0
17,9,"23899,91",-5765,"6234,91","24369,82","24371,0","1,18","-0,92",0
18,10,"24371,0",-5995,"3710,97","22086,97","22086,48","-0,49","-0,27",0
19,11,"22086,48",-6055,"6509,29","22540,77","22540,12","-0,65","0,45",0
20,12,"22540,12",-6275,"4700,94","20966,06","20964,68","-1,38","-4,19",0
21,13,"20964,68",-5850,"7725,99","22840,67","22841,0","0,33","-2,39",0
22,14,"22841,0",-6075,"5204,32","21970,32","21968,88","-1,44","-3,9",0
23,15,"21968,88",-5980,"6540,91","22529,79","22513,13","-16,66","-21,35",1
24,16,"22513,13",-6170,"6550,41","22893,54","22876,22","-17,32","-38,22",1
25,17,"22876,22",-6360,"3868,6","20384,82","20370,71","-14,11","-50,37",1
26,18,"20370,71",-5860,"6000,39","20511,1","20494,1","-17,0","-67,54",1
27,19,"20494,1",-5950,"8999,44","23543,54","23526,2","-17,34","-86,06",1
28,20,"23526,2",-6200,"6069,21","23395,41","23380,61","-14,8","-100,37",1
29,21,"23380,61",-5970,"3605,19","21015,8","21000,05","-15,75","-115,47",1
30,22,"21000,05",-6235,"7408,39","22173,44","22158,58","-14,86","-128,95",1
31,23,"22158,58",-6205,"6204,62","22158,2","22140,9","-17,3","-146,58",1
32,24,"22140,9",-5860,"6000,35","22281,25","22266,09","-15,16","-160,3",1
33,25,"22266,09",-5665,"5999,26","22600,35","22583,12","-17,23","-160,87",1
34,26,"22583,12",-5935,"5569,75","22217,87","22199,17","-18,7","-162,25",1
35,27,"22199,17",-5945,"7359,59","23613,76","23598,35","-15,41","-163,55",1
36,28,"23598,35",-6100,"2999,64","20497,99","20481,74","-16,25","-162,8",1
