,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"20498,29",-6045,"7024,91","21478,2","21484,88","6,68","-291,46",0
10,2,"21484,88",-5905,"5076,16","20656,04","20663,79","7,75","-343,23",0
11,3,"20663,79",-6235,"5871,44","20300,23","20338,22","37,99","-177,06",0
12,4,"20338,22",-5805,"7021,01","21554,23","21506,72","-47,51","-270,07",0
13,5,"21506,72",-6205,"7539,7","22841,42","22829,91","-11,51","-230,14",0
14,6,"22829,91",-6245,"4731,8","21316,71","21301,5","-15,21","-186,4",0
15,7,"21301,5",-6015,"6577,41","21863,91","21872,56","8,65","-190,42",0
16,8,"21872,56",-6060,"5350,22","21162,78","21146,22","-16,56","-193,63",0
17,9,"21146,22",-6090,"6090,32","21146,54","21055,59","-90,95","-234,26",0
18,10,"21055,59",-6260,"6970,25","21765,84","21813,29","47,45","-73,22",0
19,11,"21813,29",-5925,"6288,75","22177,04","22210,68","33,64","-46,26",0
20,12,"22210,68",-5940,"8025,72","24296,4","24259,42","-36,98","-90,99",0
21,13,"24259,42",-6120,"5930,41","24069,83","24149,95","80,12","-48,86",0
22,14,"24149,95",-6145,"3361,09","21366,04","21338,49","-27,55","-28,9",0
23,15,"21338,49",-5875,"6628,99","22092,48","22017,06","-75,42","-92,81",1
24,16,"22017,06",-5880,"6527,3","22664,36","22677,09","12,73","-64,87",1
25,17,"22677,09",-6000,"3899,85","20576,94","20632,0","55,06","-18,46",1
26,18,"20632,0",-6380,"7061,65","21313,65","21248,19","-65,46","-67,36",1
27,19,"21248,19",-5965,"7617,26","22900,45","22939,36","38,91","62,5",1
28,20,"22939,36",-6020,"7376,33","24295,69","24242,3","-53,39","-38,34",1
29,21,"24242,3",-5890,"4562,07","22914,37","22988,34","73,97","1,99",1
30,22,"22988,34",-5850,"6761,58","23899,92","23977,37","77,45","116,42",1
31,23,"23977,37",-5950,"4185,45","22212,82","22289,66","76,84","113,14",1
32,24,"22289,66",-5825,"5703,55","22168,21","22149,26","-18,95","121,74",1
33,25,"22149,26",-5790,"6394,81","22754,07","22684,42","-69,65","127,51",1
34,26,"22684,42",-5930,"5791,76","22546,18","22489,73","-56,45","58,33",1
35,27,"22489,73",-5835,"4157,63","20812,36","20822,02","9,66","12,93",1
36,28,"20822,02",-5990,"10008,41","24840,43","24902,57","62,14","140,53",1
