,Tiempo (dia),Volumen dep. almacenam. ini. (L),Venta (L),Llenado dep. almacenam. (L),Volumen dep. almacenam. fin. teor. (L),Volumen dep. almacenam. fin. (L),Variacion,Variacion Acum.,Fugando combustible
9,1,"19195,43","-6040,0","6311,77","19467,2","19476,73","9,53","-372,23",0
10,2,"19476,73","-5645,0","8721,62","22553,35","22500,6","-52,75","-422,54",0
11,3,"22500,6","-5790,0","3010,97","19721,57","19709,23","-12,34","-443,97",0
12,4,"19709,23","-6010,0","7014,43","20713,66","20717,51","3,85","-405,04",0
13,5,"20717,51","-6230,0","5988,44","20475,95","20483,87","7,92","-444,87",0
14,6,"20483,87","-6075,0","6968,03","21376,9","21417,24","40,34","-252,7",0
15,7,"21417,24","-5585,0","7853,82","23686,06","23733,76","47,7","-187,26",0
16,8,"23733,76","-6055,0","6058,12","23736,88","23766,65","29,77","-84,8",0
17,9,"23766,65","-5960,0","3982,95","21789,6","21808,92","19,32","63,19",0
18,10,"21808,92","-5920,0","5800,21","21689,13","21595,31","-93,82","-0,48",0
19,11,"21595,31","-6305,0","5785,16","21075,47","20976,94","-98,53","-108,54",0
20,12,"20976,94","-6160,0","7747,15","22564,09","22596,73","32,64","-23,15",0
21,13,"22596,73","-5560,0","7800,05","24836,78","24871,53","34,75","23,94",0
22,14,"24871,53","-6340,0","4006,88","22538,41","22598,21","59,8","79,89",0
23,15,"22598,21","-6105,0","8164,43","24657,64","24662,27","4,63","76,6",0
24,16,"24662,27","-5710,0","4324,05","23276,32","23324,48","48,16","84,42",0
25,17,"23324,48","-6610,0","6371,65","23086,13","23229,39","143,26","179,98",0
26,18,"23229,39","-6210,0","6446,94","23466,33","23590,29","123,96","274,17",0
27,19,"23590,29","-6180,0","4320,57","21730,86","21697,93","-32,93","221,92",0
28,20,"21697,93","-6125,0","6917,83","22490,76","22543,04","52,28","368,02",0
29,21,"22543,04","-5935,0","6848,33","23456,37","23514,04","57,67","524,22",0
30,22,"23514,04","-5925,0","5770,81","23359,85","23372,81","12,96","504,54",0
31,23,"23372,81","-5775,0","5742,58","23340,39","23371,53","31,14","500,93",0
32,24,"23371,53","-5835,0","3339,6","20876,13","20978,63","102,5","543,63",0
33,25,"20978,63","-6280,0","7570,14","22268,77","22202,46","-66,31","472,69",0
34,26,"22202,46","-5840,0","6870,28","23232,74","23299,63","66,89","491,42",0
35,27,"23299,63","-5815,0","3021,24","20505,87","20473,76","-32,11","316,05",0
36,28,"20473,76","-6105,0","7677,35","22046,11","22116,45","70,34","262,43",0
37,29,"22116,45","-6280,0","5124,65","20961,1","20959,68","-1,42","293,94",0
38,30,"20959,68","-6145,0","9997,38","24812,06","24786,37","-25,69","215,97",0
39,31,"24786,37","-6165,0","4246,57","22867,94","22857,78","-10,16","148,14",0
40,32,"22857,78","-6075,0","3102,39","19885,17","19927,76","42,59","177,77",0
41,33,"19927,76","-6010,0","5982,29","19900,05","19920,02","19,97","166,6",0
42,34,"19920,02","-6020,0","5906,97","19806,99","19918,77","111,78","175,88",0
43,35,"19918,77","-5870,0","6044,78","20093,55","20055,29","-38,26","203,93",0
44,36,"20055,29","-6035,0","8136,92","22157,21","21992,38","-164,83","-27,79",0
45,37,"21992,38","-6040,0","6037,75","21990,13","21956,32","-33,81","-29,49",0
46,38,"21956,32","-5725,0","4023,64","20254,96","20276,83","21,87","-77,96",0
47,39,"20276,83","-6195,0","10015,77","24097,6","24132,94","35,34","-41,2",0
48,40,"24132,94","-6380,0","4084,64","21837,58","21803,58","-34,0","-49,51",0
49,41,"21803,58","-6185,0","6882,51","22501,09","22492,08","-9,01","-48,36",0
50,42,"22492,08","-6255,0","5523,4","21760,48","21849,43","88,95","-2,0",0
51,43,"21849,43","-5775,0","6675,22","22749,65","22835,5","85,85","63,88",0
52,44,"22835,5","-5910,0","6240,69","23166,19","23159,3","-6,89","-54,79",0
53,45,"23159,3","-5960,0","6641,51","23840,81","23914,79","73,98","57,45",0
54,46,"23914,79","-5765,0","3172,71","21322,5","21406,31","83,81","306,09",0
55,47,"21406,31","-5810,0","7523,51","23119,82","23210,21","90,39","430,29",0
56,48,"23210,21","-5715,0","3787,87","21283,08","21293,6","10,52","418,94",0
57,49,"21293,6","-6100,0","6695,4","21889,0","21849,53","-39,47","344,13",0
58,50,"21849,53","-6095,0","7796,22","23550,75","23526,76","-23,99","354,14",0
59,51,"23526,76","-6205,0","7058,88","24380,64","24374,05","-6,59","356,56",0
60,52,"24374,05","-6100,0","3566,84","21840,89","21905,1","64,21","331,82",0
61,53,"21905,1","-6120,0","5900,83","21685,93","21654,65","-31,28","214,69",0
62,54,"21654,65","-6090,0","6898,98","22463,63","22451,11","-12,52","209,06",0
63,55,"22451,11","-5990,0","5968,67","22429,78","22487,17","57,39","192,47",0
64,56,"22487,17","-6060,0","5725,84","22153,01","22144,16","-8,85","99,81",0
65,57,"22144,16","-6115,0","8389,0","24418,16","24361,76","-56,4","-46,98",0
66,58,"24361,76","-5935,0","3113,5","21540,26","21593,23","52,97","-4,53",0
67,59,"21593,23","-5510,0","7685,86","23769,09","23706,35","-62,74","-27,8",0
68,60,"23706,35","-6180,0","6494,74","24021,09","24146,67","125,58","121,77",0
69,61,"24146,67","-6335,0","3746,01","21557,68","21639,0","81,32","209,68",0
70,62,"21639,0","-5665,0","6800,26","22774,26","22737,17","-37,09","108,38",0
